-1,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32
"('depressed', 0.6018745)","('hopeless lack motivation', 0.6756309)","('depression feeling', 0.6549454)","('optimistic anxious', 0.76026)","('bored unmotivated', 0.74875987)","('anxious worried', 0.65856254)","('overwhelmed lonely', 0.63211143)","('unhappy despondent', 0.6386626)","('hopeless lack motivation', 0.8115312)","('happy relaxed', 0.79140484)","('happy joyful', 0.71964335)","('blue sad', 0.7487781)","('enjoying life happy', 0.7152585)","('low irritable sad', 0.6001296)","('non depressed', 0.67897713)","('depressed sad lonely', 0.8789854)","('felt calm', 0.5898019)","('worried anxious', 0.8245728)","('anxiety poor sleep', 0.76860726)","('felt depressed', 0.6675001)","('smiling happy', 0.6943128)","('depression', 0.47534382)","('anxious worried nervous', 0.6567144)","('sad hopeless despair', 0.5607894)","('tired depressed', 0.6283207)","('occasionally', 0.7670611)","('depressed anxiety', 0.6061899)","('severely depressed', 0.52026826)","('depression', 0.64729714)","('apathetic', 0.36736163)","('optimistic future', 0.52153236)","('really depressed', 0.71333516)","('sad hopeless despair', 0.61074495)","('depressed worried', 0.7459427)"
"('sad depressed', 0.59185195)","('lack motivation low', 0.6754364)","('depression', 0.6009601)","('optimistic hopeful', 0.7159197)","('unmotivated', 0.62297964)","('disturbed', 0.656683)","('depressed sad lonely', 0.6188612)","('sad unhappy', 0.63842285)","('lack motivation low', 0.811375)","('happy content relaxed', 0.7831397)","('jovial happy', 0.7021322)","('sad blue', 0.6843515)","('generally happy', 0.6012111)","('hopelessness', 0.58929807)","('depression yes', 0.6721941)","('distressed lonely', 0.8519735)","('relaxed', 0.5866429)","('anxious depressed', 0.7617048)","('depression anxiety', 0.62128645)","('depressed feel', 0.66571605)","('happy joyful', 0.67943054)","('feel tired', 0.4724428)","('depressed anxious', 0.63281924)","('hopeless despair', 0.49743795)","('tiredness', 0.5737631)","('frequently', 0.7201905)","('anxiety', 0.60190886)","('depressed', 0.4935781)","('insomnia', 0.5560776)","('hopelessness', 0.3612846)","('positive mindset', 0.46153402)","('depressed', 0.6359835)","('sad gloomy', 0.572208)","('confused stressed', 0.72846735)"
"('anxious', 0.58261716)","('lacking motivation', 0.6315886)","('suicidal thoughts self', 0.59536576)","('happy cheerful', 0.64597183)","('tired frustrated', 0.5774821)","('anxious', 0.6506362)","('anxious hopeless', 0.57153976)","('depressed sad', 0.61681545)","('unmotivated tired', 0.71743673)","('relaxed peaceful', 0.77837324)","('cheerful happy', 0.6860778)","('worried anxious', 0.56898534)","('positive happy', 0.5936421)","('unhappiness', 0.5775076)","('stressed depressed', 0.6473643)","('sad lonely tired', 0.80396646)","('feeling depressed', 0.54064673)","('worried depressed', 0.75985545)","('anxiety poor', 0.60101104)","('feeling lonely', 0.58611584)","('smiling', 0.6364265)","('headaches feeling', 0.45924664)","('anxious', 0.6264077)","('discouraged', 0.49415153)","('insomnia', 0.5576367)","('constantly', 0.6538694)","('overthinking stressed', 0.51791847)","('lack energy', 0.40548894)","('feeling uselessness', 0.53883594)","('news', 0.32495183)","('mindfulness', 0.46019346)","('depressed just', 0.60697466)","('hopeless despair', 0.56795764)","('stressed unhappy', 0.7189017)"
"('mood', 0.5751309)","('motivation low', 0.5995766)","('self hatred', 0.54918814)","('optimistic calm', 0.6428362)","('tired bored', 0.57226115)","('worried anxious', 0.64605653)","('lonely hopeless', 0.55128276)","('gloomy', 0.58346426)","('motivation low', 0.7022646)","('relaxed', 0.7029409)","('happy cheerful', 0.6618925)","('anxious', 0.5415186)","('life happy', 0.59323066)","('lonely sadness', 0.5708121)","('feeling depressed', 0.63584524)","('sad lonely', 0.7529553)","('relaxed active', 0.50699)","('anxious tired', 0.72687125)","('lonely low mood', 0.56367993)","('depressed', 0.5804473)","('smile', 0.51721406)","('low mood', 0.4007869)","('anxious worried', 0.61374736)","('dejected', 0.43291157)","('stressed sad', 0.5481292)","('extremely', 0.52750057)","('fear', 0.4730823)","('pessimistic', 0.3886866)","('feeling', 0.4722522)","('low mood', 0.32371625)","('future enthusiastic', 0.4588866)","('depressed feeling', 0.59717345)","('darkness', 0.47211647)","('worried stressed', 0.71615654)"
"('depression', 0.5525523)","('motivation tired', 0.58250105)","('feeling hopeless', 0.5465057)","('happy joyful', 0.6368865)","('bored', 0.56774616)","('distressed', 0.6208513)","('lonely sadness', 0.5473428)","('low mood sad', 0.58102834)","('lack motivation', 0.69589764)","('happy calm happy', 0.64928806)","('joyful happy', 0.6387423)","('blue', 0.52403194)","('positive mood', 0.5472766)","('emptiness', 0.55959564)","('depressed extremely', 0.62512505)","('sad sad lonely', 0.74672884)","('loving calm', 0.50483406)","('anxious sad', 0.70406663)","('lacking motivation', 0.52776986)","('feeling hopeless', 0.5197712)","('joy', 0.5065844)","('sleep feeling', 0.39951393)","('sad lonely', 0.5735893)","('sad gloomy', 0.42085662)","('stressed', 0.53705513)","('completely', 0.42856658)","('fear unknown', 0.43539643)","('hopelessness', 0.3770881)","('tired feeling', 0.46767843)","('fear unknown', 0.32137704)","('self care', 0.44033703)","('feeling low', 0.51679647)","('dark', 0.4714727)","('stressed depressed', 0.67823833)"
"('unhappy', 0.5446386)","('lack motivation', 0.5747512)","('feeling worthless', 0.54253906)","('positive happy', 0.60785604)","('bored low', 0.5652797)","('confused stressed', 0.58322823)","('sad lonely sadness', 0.52703214)","('fretful mournful', 0.5733255)","('exhausted unmotivated', 0.68291265)","('content relaxed', 0.6454403)","('peaceful happy', 0.5942782)","('stressed', 0.5192841)","('enjoying life', 0.5437232)","('sad bleak', 0.5184511)","('depressed feeling', 0.58905786)","('depressed sad', 0.711673)","('depressed happy', 0.49039355)","('angry worried', 0.693298)","('depression', 0.5220326)","('sad low mood', 0.47179776)","('joyful', 0.5016096)","('mental health', 0.34716257)","('depressed', 0.5614215)","('abandoned', 0.41697207)","('stressful', 0.5313869)","('certainly', 0.40372217)","('stress', 0.42917866)","('feeling', 0.33660188)","('emptiness', 0.45279837)","('mood', 0.30273488)","('living', 0.42011815)","('stressed', 0.51061726)","('blank', 0.43553782)","('distressed', 0.6500419)"
"('moody', 0.5435976)","('insomnia lack', 0.48845887)","('low self esteem', 0.535205)","('happy motivated', 0.6061076)","('lonely tired', 0.5613813)","('nervous', 0.53057396)","('depressed sad', 0.4987868)","('sad angry', 0.5684089)","('motivation tired', 0.67388576)","('calm happy', 0.6336193)","('content happy', 0.56023204)","('sad unhappy', 0.45115685)","('content happy', 0.5281765)","('pessimistic', 0.5133332)","('felt depressed', 0.5823556)","('lonely low mood', 0.6838765)","('anxious', 0.4829845)","('tired worried', 0.6752066)","('low mood', 0.5112765)","('low mood', 0.46279955)","('enjoyment', 0.47826368)","('anxious', 0.34429628)","('worried nervous', 0.55795705)","('despair', 0.4133822)","('depressed', 0.50391966)","('yes', 0.39085832)","('panic', 0.40376788)","('feeling feeling', 0.3160436)","('feeling flat', 0.44330224)","('frustration', 0.29839814)","('living life', 0.40931696)","('feeling happy', 0.48877385)","('sadness', 0.42060605)","('stressed', 0.6448784)"
"('stressed', 0.53813064)","('lack energy', 0.4778437)","('feeling uselessness', 0.53154254)","('calm hopeful', 0.6045357)","('tired uninterested', 0.5465763)","('stressed', 0.52344537)","('lonely lost', 0.48988944)","('sorrowful', 0.5643772)","('unmotivated', 0.66159785)","('peaceful happy', 0.6134903)","('cheerful satisfied', 0.5563568)","('downhearted', 0.4446712)","('content satisfied', 0.48422593)","('sadness', 0.509666)","('depression', 0.56975335)","('felt lonely', 0.6662867)","('depressed hopeful', 0.44114494)","('unhappy worried', 0.67114764)","('sleepy', 0.4872635)","('feel sad', 0.46267033)","('happy', 0.4740675)","('poor sleep', 0.34382805)","('afraid', 0.53541917)","('sad hopeless', 0.3839486)","('anxious', 0.49691087)","('absolutely', 0.38148266)","('depressed', 0.3620612)","('sadness', 0.31242704)","('things feeling', 0.43325102)","('depression', 0.2967544)","('activities', 0.40590388)","('anxious', 0.46595895)","('gloomy', 0.41932654)","('depressed', 0.6254854)"
"('unmotivated', 0.52034694)","('deprivation', 0.4770341)","('overwhelmed self', 0.52588797)","('optimistic', 0.593706)","('sad lonely tired', 0.54446083)","('depressed sad', 0.49882537)","('sad lonely', 0.46285394)","('dejected sad', 0.5489939)","('tired depressed', 0.56709707)","('cheerful happy', 0.60981536)","('joyful', 0.5325227)","('emotional', 0.43985578)","('content life', 0.46672925)","('exhausted lonely', 0.50669974)","('depressed upbeat positive', 0.56732225)","('lonely anxious', 0.6650686)","('feeling', 0.44079888)","('anxious', 0.6651023)","('tiredness', 0.4850369)","('felt sad felt', 0.4310094)","('happy content', 0.4439314)","('feeling lost', 0.3390646)","('scared', 0.5282866)","('downcast', 0.3824504)","('anxiety', 0.49135977)","('hard', 0.2919295)","('stressed', 0.34837207)","('lack', 0.27760535)","('feeling useless', 0.42977965)","('hopeful things improve', 0.28270411)","('relaxing', 0.3968988)","('bit lonely', 0.46515417)","('hollow', 0.4075547)","('unhappy', 0.44399738)"
"('emotional', 0.4743718)","('feeling tired', 0.4756434)","('exhausted self', 0.48264185)","('optimistic future', 0.584824)","('tired exhausted', 0.5179579)","('frustrated', 0.49428162)","('lonely failure', 0.46174625)","('unhappy sad', 0.5361325)","('hobbies tired', 0.55361843)","('tired happy', 0.60588694)","('joyous', 0.50043976)","('upset worried', 0.43872246)","('happy family', 0.46645713)","('helpless', 0.5049813)","('sad depressed', 0.5603702)","('depressed', 0.65888643)","('stress', 0.43586332)","('depressed tired', 0.66202885)","('poor sleep', 0.4829891)","('felt isolated felt', 0.4264154)","('content pleased', 0.43938124)","('tired', 0.33533886)","('helpless', 0.52226746)","('misery', 0.38225028)","('tired', 0.47394896)","('really hard', 0.26420826)","('depressive', 0.3159164)","('improve', 0.2717424)","('feelings', 0.42529032)","('situation', 0.27538177)","('hobbies', 0.3896386)","('tired', 0.4535175)","('void', 0.38125175)","('disturbed', 0.428487)"
