t_0,t_1
0.0,1.0
1.0,0.0
0.0,0.0
1.0,0.0
1.0,0.0
0.3358866947501602,0.6641133052498399
0.49806710559084627,0.5019328944091537
1.0,0.0
1.0,0.0
0.18390288750584616,0.8160971124941538
1.0,0.0
1.0,0.0
0.0,0.0
1.0,0.0
0.17268996101811135,0.8273100389818887
0.5830039997761297,0.41699600022387034
0.0,1.0
0.0,0.0
1.0,0.0
1.0,0.0
0.0,0.0
0.0,1.0
0.5881524033040934,0.4118475966959066
1.0,0.0
1.0,0.0
0.4320714435699443,0.5679285564300557
1.0,0.0
1.0,0.0
0.0,0.0
0.7341164456533096,0.2658835543466905
1.0,0.0
0.0,0.0
0.7634903973446405,0.2365096026553595
0.15486929640730066,0.8451307035926994
1.0,0.0
1.0,0.0
0.0,0.0
1.0,0.0
0.0,1.0
0.0,0.0
1.0,0.0
1.0,0.0
0.0,1.0
1.0,0.0
0.0,0.0
0.4798379755420899,0.5201620244579102
1.0,0.0
1.0,0.0
0.0,0.0
1.0,0.0
1.0,0.0
0.0,1.0
0.0,1.0
0.2583905525279573,0.7416094474720427
1.0,0.0
1.0,0.0
0.6272154028782987,0.37278459712170137
0.0,1.0
0.0,0.0
0.44004741155563326,0.5599525884443667
1.0,0.0
0.0,1.0
1.0,0.0
1.0,0.0
1.0,0.0
1.0,0.0
0.6908828231505204,0.3091171768494797
0.0,0.0
1.0,0.0
1.0,0.0
0.0,0.0
1.0,0.0
1.0,0.0
1.0,0.0
1.0,0.0
1.0,0.0
1.0,0.0
0.0,0.0
0.6239399899439869,0.37606001005601314
1.0,0.0
0.0,0.0
0.0,0.0
1.0,0.0
1.0,0.0
0.0,0.0
0.0,0.0
1.0,0.0
0.0,1.0
1.0,0.0
0.0,1.0
1.0,0.0
1.0,0.0
0.0,0.0
1.0,0.0
0.0,0.0
0.9608087350583112,0.03919126494168875
1.0,0.0
0.0,0.0
1.0,0.0
0.0,0.0
0.0,1.0
1.0,0.0
1.0,0.0
0.0,1.0
0.0,0.0
0.9478222495573164,0.05217775044268356
1.0,0.0
1.0,0.0
1.0,0.0
1.0,0.0
1.0,0.0
1.0,0.0
0.0,1.0
1.0,0.0
1.0,0.0
0.12046296320223468,0.8795370367977653
